beneficiary,vintage_year,total_volume
Shell,2015,6326302.0
PRIMAX COLOMBIA S.A identificada con Nit: 860.002.554-8,2016,5250000.0
Eni Upstream,2021,4826151.0
Shell,2010,4748908.0
Shell,2020,4129023.0
Shell,2014,4004460.0
Eni Upstream,2020,3780735.0
DL,2016,3315437.0
Shell,2017,3118161.0
Shell,2013,2759939.0
Shell,2019,2739279.0
TASC SA Pty Ltd (COAS account 101046),2023,2575966.0
Eni Upstream,2019,2506509.0
Delta Air Lines,2016,2379033.0
Shell,2016,2248832.0
"Yamato Transport Co., Ltd.",2019,2196227.0
Delta Air Lines,2012,2129863.0
"Yamato Transport Co., Ltd.",2018,2072132.0
Greenchoice,2012,2062513.0
AUDI AG,2018,2022064.0
Shell,2008,2020755.0
DL,2014,1983707.0
Eni Upstream,2018,1869914.0
DL,2015,1852126.0
Marke VW Pkw,2021,1702063.0
AUDI AG,2020,1700582.0
AUDI AG,2021,1658910.0
Shell,2018,1621181.0
Telstra Corporation Limited,2020,1584488.0
AUDI AG,2019,1580830.0
Shell,2012,1525825.0
PetroChina International Company Limited (“PCI”),2010,1496214.0
Volkswagen Marke Pkw,2019,1493494.0
The Boeing Company,2019,1485895.0
Delta Air Lines,2010,1424018.0
Delta Air Lines,2015,1405453.0
BIOMAX BIOCOMBUSTIBLES S.A NIT 830136799-1,2014,1400000.0
Takeda Pharmaceutical Company,2017,1368047.0
Telstra Corporation Limited,2019,1367692.0
Takeda Pharmaceutical Company,2016,1324230.0
Telstra Corporation Limited,2018,1276853.0
BIOMAX BIOCOMBUSTIBLES S.A,2014,1239775.0
"CHEVRON PETROLEUM COMPANY, identificada con NIT 860.005.223-9",2014,1218933.0
DL,2019,1217979.0
Norwegian Cruise Line Holdings Ltd.,2014,1183891.0
Eni Upstream,2017,1172056.0
Delta Air Lines,2011,1161622.0
Delta Air Lines,2017,1079683.0
DL,2013,1077808.0
PetroChina International Company Limited (“PCI”),2018,1073552.0
Geopost,2016,1057460.0
ENGIE ABN 67 269 241 237,2018,1011439.0
DL,2010,1000000.0
VW PKW,2019,999975.0
GP-2,2010,978432.0
VW PKW,2018,965215.0
Norwegian Cruise Line Holdings Ltd.,2013,914082.0
Geopost,2017,904743.0
DL,2017,873229.0
Eni Plenitude SpA Società Benefit,2013,856441.0
CHEVRON PETROLEUM COMPANY,2016,838737.0
TERPEL S.A  NIT 830.095.213-0,2014,834861.0
"Interface, Inc.",2019,820094.0
The Boeing Company,2020,817169.0
TASC SA Pty Ltd (COAS account 101046),2022,805990.0
CHEVRON PETROLEUM COMPANY,2015,795273.0
GP-2,2011,774366.0
Shell,2023,766835.0
GP-2,2009,766025.0
PRIMAX COLOMBIA S.A  identificada con Nit: 860.002.554-8,2016,750000.0
Telstra Corporation Limited,2021,746718.0
Shell,2021,737979.0
_,2017,721206.0
_,2014,715765.0
ExxonMobil de Colombia NIT 860.002.554-8,2013,706587.0
GP-2,2008,706032.0
Woodside Burrup Pty Ltd,2019,705301.0
Greenchoice,2013,703694.0
Geopost,2015,693043.0
Eni Upstream,2022,688076.0
ENTEGA Plus GmbH,2010,669456.0
PRIMAKLIMA e.V.,2017,660750.0
Greenchoice,2014,659752.0
Exxon Mobil de Colombia SA,2013,657344.0
Woodside Burrup Pty Ltd,2018,656485.0
0x79C8D248dE2FFa98fA1CF1793c79bB86615a52D7,2008,650136.0
Transaction Reference 13298,2018,644175.0
_,2015,634274.0
Marke VW Pkw,2020,624466.0
Guccio Gucci S.p.a,2014,592474.0
_,2016,588009.0
DL,2020,581075.0
Anonymous,2021,575494.0
Allianz SE,2011,574263.0
4AIR Client,2017,573164.0
Gucci,2014,570313.0
DL,2018,565912.0
DPDgroup,2012,556648.0
0xAf529400FF068AFbdc907c699B9184a4381481B0,2011,555394.0
Volkswagen Brand Passenger Cars,2018,550000.0
Volkswagen Marke Pkw,2018,548288.0
Volkswagen Nutzfahrzeuge,2017,546506.0
Greenchoice,2015,545196.0
"Eprimo GmbH, Flughafenstraße 20, 63263 Neu-Isenburg",2016,530000.0
Eni Plenitude SpA Società benefit,2021,524741.0
Brisbane City Council,2012,523123.0
Eni Upstream,2016,520636.0
0xee9930a62fbf85fb443ad3d7410da665ebc90b83,2015,517520.0
Disney,2016,515799.0
Delta Air Lines,2014,514929.0
Chiesi Limited,2001,514611.0
Geopost,2014,511271.0
Guccio Gucci Spa,2014,510000.0
"Interface, Inc.",2018,506342.0
Stadtwerke Rostock AG,2017,505303.0
CHEVRON PETROLEUM COMPANY NIT 860005223-9,2013,504749.0
TERPEL S.A  NIT 830.095.213-0,2013,500576.0
The Walt Disney Company,2018,500101.0
Guccio Gucci Spa,2017,500000.0
DPDgroup,2007,496738.0
ENGIE ABN 67 69 241 237,2018,494640.0
BIOMAX SA,2015,494464.0
Chanel,2018,487268.0
VW Pkw,2020,487184.0
Australia and New Zealand Banking Group Ltd,2018,483000.0
Church & Dwight,2008,481089.0
I.F.,2018,480740.0
Gucci,2013,479687.0
The Boeing Company,2014,473238.0
"Yamato Transport Co., Ltd.",2020,472582.0
4AIR Client,2019,468183.0
Barilla/Mulino Bianco,2018,468038.0
Brisbane City Council,2017,464736.0
Logan City Council,2018,461299.0
4AIR Client,2014,458238.0
ENGIE ABN 67 269 241 237,2019,457361.0
Delta Air Lies,2015,457000.0
4AIR Client,2016,451390.0
_,2013,451362.0
Takeda Pharmaceutical Company Limited,2020,449709.0
GP-4,2010,447862.0
Terpel S.A.,2012,445479.0
_,2018,444196.0
"CPC Corporation, Taiwan",2020,444149.0
N/A,2015,443560.0
Greenchoice,2011,443419.0
Takeda Pharmaceutical Company,2018,438116.0
"Retired on behalf of easyJet for aviation emissions period 01 April – 30 June 2022, and on behalf of easyJet Holidays for ground-based emissions period 01 April – 30 June 2022",2019,437534.0
Takeda Pharmaceutical Company Limited,2021,434829.0
SEAT S.A.,2021,434718.0
ZIPAIR Tokyo Inc.,2019,434565.0
"Retired on behalf of easyJet for aviation emissions period 01 January – 31 March 2022, and on behalf of easyJet Holidays for ground-based emissions period 01 January – 31 March 2022",2019,433697.0
MOSS EARTH - RETIREMENT FOR TOKENIZATION,2014,432762.0
DL,2012,425195.0
Eni Plenitude SpA Società benefit,2020,416417.0
